formated_start,formated_end,exercise_name,workout_name
18/10/2022  11:24:14,18/10/2022  11:24:18,Tom core gear,Detox - Warm Up - Copy
18/10/2022  11:20:23,18/10/2022  11:20:51,Tom core gear,Detox - Warm Up - Copy
18/10/2022  11:18:18,18/10/2022  11:19:4,Gear 1 testing,Detox GEAR 1 - Core
18/10/2022  10:54:0,18/10/2022  10:54:6,Tom core gear,Detox - Warm Up - Copy
18/10/2022  10:53:10,18/10/2022  10:53:14,Tom core gear,Detox - Warm Up - Copy
04/10/2022  06:40:21,04/10/2022  06:40:41,,
04/10/2022  06:39:48,04/10/2022  06:40:3,,
04/10/2022  06:39:30,04/10/2022  06:39:35,,
04/10/2022  06:27:47,04/10/2022  06:28:18,,
04/10/2022  06:09:35,04/10/2022  06:10:38,,
04/10/2022  06:07:17,04/10/2022  06:07:27,,
04/10/2022  06:03:12,04/10/2022  06:03:55,,
04/10/2022  06:02:25,04/10/2022  06:02:59,,
04/10/2022  06:01:27,04/10/2022  06:01:57,,
04/10/2022  05:59:21,04/10/2022  05:59:36,,
04/10/2022  05:44:49,04/10/2022  05:44:59,,
03/10/2022  12:36:39,03/10/2022  12:36:46,,
03/10/2022  12:35:36,03/10/2022  12:35:41,,
03/10/2022  12:34:46,03/10/2022  12:34:52,,
03/10/2022  12:34:29,03/10/2022  12:34:37,,
03/10/2022  12:30:52,03/10/2022  12:31:11,,
03/10/2022  12:21:41,03/10/2022  12:21:45,,
03/10/2022  12:18:2,03/10/2022  12:18:25,,
03/10/2022  12:15:11,03/10/2022  12:15:16,,
03/10/2022  12:07:31,03/10/2022  12:07:37,,
03/10/2022  12:07:8,03/10/2022  12:07:18,,
03/10/2022  12:06:47,03/10/2022  12:06:56,,
03/10/2022  11:40:30,03/10/2022  11:40:36,,
03/10/2022  10:30:54,03/10/2022  10:31:3,CHELSEA BODYWEIGHTS,CHELSEA BODYWEIGHTS
03/10/2022  10:24:50,03/10/2022  10:26:9,CHELSEA BODYWEIGHTS,CHELSEA BODYWEIGHTS
03/10/2022  10:16:6,03/10/2022  10:16:8,Netanel Bar Test,Detox - Warm Up
03/10/2022  10:16:2,03/10/2022  10:16:4,Gear go testing,Detox - Warm Up
03/10/2022  10:15:58,03/10/2022  10:15:59,Ben Hybar Strength,Detox - Warm Up
03/10/2022  10:15:20,03/10/2022  10:15:27,Netanel Body Weight Exercise,Detox - Favorite Thumbnail
03/10/2022  10:14:46,03/10/2022  10:14:51,Netanel Bar Test,Detox - Warm Up
03/10/2022  10:14:40,03/10/2022  10:14:45,Gear go testing,Detox - Warm Up
03/10/2022  10:14:32,03/10/2022  10:14:36,Ben Hybar Strength,Detox - Warm Up
03/10/2022  10:13:23,03/10/2022  10:13:30,Netanel Bar Test,Detox - Warm Up
03/10/2022  10:13:10,03/10/2022  10:13:19,Gear go testing,Detox - Warm Up
03/10/2022  10:09:38,03/10/2022  10:09:41,Squat Press with bar Standing,Detox - Short Workout
03/10/2022  10:09:9,03/10/2022  10:09:38,Netanel Bar Test,Detox - Short Workout
03/10/2022  10:08:38,03/10/2022  10:09:8,Gear go testing,Detox - Short Workout
03/10/2022  10:08:7,03/10/2022  10:08:37,Ben Hybar Strength,Detox - Short Workout
03/10/2022  10:07:26,03/10/2022  10:08:7,Gear 1 testing,Detox - Short Workout
04/10/2022  06:54:57,04/10/2022  06:55:9,,
04/10/2022  06:54:49,04/10/2022  06:54:51,,
04/10/2022  06:54:20,04/10/2022  06:54:44,,
03/10/2022  07:24:14,03/10/2022  07:24:19,,
03/10/2022  06:25:44,03/10/2022  06:26:4,,
03/10/2022  06:20:34,03/10/2022  06:20:49,,
03/10/2022  06:18:32,03/10/2022  06:20:29,,
03/10/2022  06:16:14,03/10/2022  06:16:31,,
03/10/2022  06:14:27,03/10/2022  06:14:33,,
03/10/2022  06:13:44,03/10/2022  06:13:56,,
03/10/2022  06:13:24,03/10/2022  06:13:34,,
03/10/2022  06:07:37,03/10/2022  06:08:1,,
02/10/2022  14:04:42,02/10/2022  14:04:55,,
02/10/2022  14:04:13,02/10/2022  14:04:37,,
02/10/2022  12:44:29,02/10/2022  12:44:31,,
03/10/2022  12:24:56,03/10/2022  12:25:8,,
03/10/2022  12:24:13,03/10/2022  12:24:28,,
03/10/2022  12:23:52,03/10/2022  12:23:57,,
